V(V): 3.16	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A):
1.200000E-2	1.000000E-2	4.138610E-10
2.380000E-1	9.800000E-3	3.984428E-10
3.330000E-1	9.600000E-3	3.917791E-10
4.280000E-1	9.400000E-3	3.803999E-10
5.230000E-1	9.200000E-3	3.655359E-10
6.200000E-1	9.000000E-3	3.497875E-10
7.160000E-1	8.800000E-3	3.337615E-10
8.120000E-1	8.599999E-3	3.204538E-10
9.140000E-1	8.400000E-3	3.050019E-10
1.010000E+0	8.200000E-3	2.939352E-10
1.104000E+0	7.999999E-3	2.868307E-10
1.198000E+0	7.800000E-3	2.795286E-10
1.292000E+0	7.600000E-3	2.744642E-10
1.398000E+0	7.400000E-3	2.697647E-10
1.503000E+0	7.200000E-3	2.671442E-10
1.598000E+0	7.000000E-3	2.649842E-10
1.698000E+0	6.800000E-3	2.688572E-10
1.793000E+0	6.600000E-3	2.687541E-10
1.888000E+0	6.400000E-3	2.710129E-10
1.982000E+0	6.200000E-3	2.750047E-10
2.077000E+0	6.000000E-3	2.801627E-10
2.176000E+0	5.800000E-3	2.869695E-10
2.282000E+0	5.600000E-3	2.966282E-10
2.377000E+0	5.400000E-3	3.031743E-10
2.471000E+0	5.200000E-3	3.074784E-10
2.565000E+0	5.000000E-3	3.156965E-10
2.660000E+0	4.800000E-3	3.303944E-10
2.770000E+0	4.600000E-3	3.421962E-10
2.865000E+0	4.400000E-3	3.395494E-10
2.960000E+0	4.200000E-3	3.376902E-10
3.054000E+0	4.000000E-3	3.361854E-10
3.150000E+0	3.800000E-3	3.370908E-10
3.246000E+0	3.600000E-3	3.360739E-10
3.341000E+0	3.400000E-3	3.249724E-10
3.437000E+0	3.200000E-3	3.217209E-10
3.533000E+0	3.000000E-3	3.072996E-10
3.635000E+0	2.800000E-3	2.861104E-10
3.730000E+0	2.600000E-3	2.598599E-10
3.825000E+0	2.400000E-3	2.230695E-10
3.922000E+0	2.200000E-3	2.060592E-10
4.018000E+0	2.000000E-3	1.804996E-10
4.132000E+0	1.800000E-3	1.522080E-10
4.227000E+0	1.600000E-3	1.378793E-10
4.327000E+0	1.400000E-3	1.184819E-10
4.434000E+0	1.200000E-3	9.803194E-11
4.536000E+0	1.000000E-3	8.075666E-11
4.634000E+0	8.000000E-4	6.368964E-11
4.736000E+0	6.000000E-4	4.891501E-11
4.831000E+0	4.000000E-4	3.622986E-11
4.926000E+0	2.000000E-4	2.554167E-11
5.029000E+0	2.910383E-11	1.633408E-11
5.132000E+0	-2.000000E-4	7.747990E-12
5.234000E+0	-4.000000E-4	9.780000E-14
5.338000E+0	-6.000000E-4	-7.012940E-12
5.442000E+0	-7.999999E-4	-1.333607E-11
5.537000E+0	-9.999999E-4	-1.964235E-11
5.634000E+0	-1.200000E-3	-2.388126E-11
5.730000E+0	-1.400000E-3	-2.770793E-11
5.831000E+0	-1.600000E-3	-3.069545E-11
5.934000E+0	-1.800000E-3	-3.447270E-11
6.040000E+0	-2.000000E-3	-3.617730E-11
6.144000E+0	-2.200000E-3	-3.886723E-11
6.243000E+0	-2.400000E-3	-3.863798E-11
6.338000E+0	-2.600000E-3	-3.791976E-11
6.434000E+0	-2.800000E-3	-3.724044E-11
6.537000E+0	-3.000000E-3	-3.613419E-11
6.645000E+0	-3.200000E-3	-3.623514E-11
6.749000E+0	-3.400000E-3	-3.611526E-11
6.881000E+0	-3.600000E-3	-3.601641E-11
6.990000E+0	-3.800000E-3	-3.621516E-11
7.088000E+0	-4.000000E-3	-3.724570E-11
7.182000E+0	-4.200000E-3	-3.826573E-11
7.276000E+0	-4.400000E-3	-3.914169E-11
7.372000E+0	-4.600000E-3	-4.045090E-11
7.475000E+0	-4.800000E-3	-4.242367E-11
7.576000E+0	-5.000000E-3	-4.302411E-11
7.670000E+0	-5.200000E-3	-4.462671E-11
7.779000E+0	-5.400000E-3	-4.763316E-11
7.886000E+0	-5.600000E-3	-4.986775E-11
7.980000E+0	-5.800000E-3	-5.239889E-11
8.075000E+0	-6.000000E-3	-5.645586E-11
8.176000E+0	-6.200000E-3	-6.096500E-11
8.275000E+0	-6.400000E-3	-6.610825E-11
8.375000E+0	-6.600000E-3	-7.189296E-11
8.473000E+0	-6.800000E-3	-7.772813E-11
8.567000E+0	-7.000000E-3	-8.618594E-11
8.662000E+0	-7.200000E-3	-9.418105E-11
8.759000E+0	-7.400000E-3	-1.026956E-10
8.875000E+0	-7.600000E-3	-1.157888E-10
8.969000E+0	-7.800000E-3	-1.344101E-10
9.074000E+0	-7.999999E-3	-1.410213E-10
9.168000E+0	-8.200000E-3	-1.534866E-10
9.263000E+0	-8.400000E-3	-1.609675E-10
9.357000E+0	-8.599999E-3	-1.873725E-10
9.451000E+0	-8.800000E-3	-2.067110E-10
9.545000E+0	-9.000000E-3	-2.417283E-10
9.639000E+0	-9.199999E-3	-2.668819E-10
9.736000E+0	-9.400000E-3	-2.969590E-10
9.835000E+0	-9.600000E-3	-3.294704E-10
9.937000E+0	-9.800000E-3	-3.644247E-10
1.003900E+1	-1.000000E-2	-3.706321E-10
